STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
02KF017,Water Level,NA,2002,2024,23
02KF017,Flow,NA,1993,2024,32
