STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08AC001,Water Level,NA,2011,2023,13
08AC001,Flow,NA,1984,2023,40
