STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
07FA006,Water Level,NA,1981,2023,16
07FA006,Flow,NA,1984,2023,40
