STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08DA012,Water Level,NA,2011,2022,12
08DA012,Flow,NA,1997,2023,27
