STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
02DD013,Water Level,NA,2002,2024,23
02DD013,Flow,NA,1974,2024,51
