STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08NL076,Water Level,NA,2011,2023,13
08NL076,Flow,NA,1998,2023,26
