STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
02ZG001,2,1998,"THE ""E"" FOR DISCHARGES ABOVE 129 M3/S IS DUE TO CURVE EXTENSION",LE < E > POUR LES DEBITS SUPERIEURS A 129 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE.
02ZG001,2,2005,"THE ""E"" FOR DISCHARGES ABOVE 129 M3/S IS DUE TO CURVE EXTENSION",LE < E > POUR LES DEBITS SUPERIEURS A 129 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE.
02ZG001,2,2010,"2010 THE ""E"" FOR DISCHARGE ABOVE 129 CMS IS DUE TO CURVE EXTENSION",LES ESTIMATIONS DE DEBIT SUPERIEURES A 129 CMS SONT ATTRIBUABLES AU PROLONGEMENT DE LA COURBE.
02ZG001,2,2011,MAX. INST. DISCHARGES NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,
02ZG001,2,2012,"THE ""E"" FOR DISCHARGES BELOW 0.390 CMS IS DUE TO CURVE EXTENSION.",
02ZG001,2,2013,MAX. INST. WATER LEVEL NOT VALID- OCCURRED DURING BACKWATER CONDITIONS MAX. DAILY WATER LEVEL NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,
02ZG001,2,2014,MAX. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,
02ZG001,2,2016,"THE ""E"" FOR DISCHARGES BELOW 1.24 CMS IS DUE TO CURVE EXTENSION.
MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS",
02ZG001,2,2017,"THE 'E' FOR DISCHARGES ON AUG 6 AND AUG 7, 2017 IS DUE TO RATING CURVE EXTENSION.",
02ZG001,2,2023,WATER LEVEL UNAVAILABLE JAN 1-10 AND AUG 30 TO SEP 4- EQUIPMENT MALFUNCTION.,
