STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
02ZG003,Water Level,NA,2011,2023,13
02ZG003,Flow,NA,1980,2023,44
