STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
07EC002,Water Level,NA,2011,2024,14
07EC002,Flow,NA,1975,2024,50
