STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08JB002,Water Level,NA,2011,2024,14
08JB002,Flow,NA,1929,2024,77
