STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08OA002,Water Level,NA,2011,2024,14
08OA002,Flow,NA,1962,2024,62
