STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
02AB008,Water Level,NA,2002,2024,23
02AB008,Instantantaneous Sediment,DI,1989,2000,11
02AB008,Flow,NA,1953,2024,72
