STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
05AE005,2,1997,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2000,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2004,MAXIMUM INSTANTANEOUS DISCHARGE VALID,
05AE005,2,2007,"MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID, ICE CONDITIONS","DEBIT INSTANTANE MAXIMAL NON VALIDE, CONDITIONS GLACIELLES"
05AE005,2,2012,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2013,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2017,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2018,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2019,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
05AE005,2,2022,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS.,
05AE005,4,-999,HIGHER MAXIMUM DISCHARGES ARE KNOWN TO HAVE OCCURRED OUTSIDE THE STANDARD PERIOD IN 1973 AND 1986.,
