STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05CD007,Water Level,NA,2012,2024,13
05CD007,Flow,NA,1983,2024,42
