date,hyd_year,prcp_mm_day,flow_mm_day,cumulative_precip_mm,cumulative_flow_mm,runoff_coefficient,infill_flag
1980-10-01,1980,12.489833,1.2667340748230536,12.489833,1.2667340748230536,0.10142121893743516,observed
1980-10-02,1980,16.099764,1.3104145601617796,28.589596,2.577148634984833,0.09014288461764812,observed
1980-10-03,1980,20.496067,1.3628311758938165,49.085663,3.9399798108786497,0.0802674260216717,observed
1980-10-04,1980,6.9070096,1.380303353366524,55.992672,5.320283164245174,0.09501749027842873,observed
1980-10-05,1980,11.335972,1.4501921465712682,67.32864,6.770475310816442,0.10055861708793672,observed
1980-10-06,1980,17.032269,1.5200808564620985,84.360916,8.29055616727854,0.09827484748679773,observed
1980-10-07,1980,22.37468,1.6598584428715872,106.735596,9.950414610150126,0.09322489413771828,observed
1980-10-08,1980,4.656579,1.9044690941173217,111.39217,11.854883704267447,0.10642474514461717,observed
1980-10-09,1980,0.9276517,2.1228715208109517,112.319824,13.977755225078399,0.1244460211926243,observed
1980-10-10,1980,0.0,2.2888574984003727,112.319824,16.266612723478772,0.14482405787778396,observed
1980-10-11,1980,0.7811522,2.367482338684514,113.100975,18.634095062163286,0.16475627249128252,observed
1980-10-12,1980,0.0,2.402426693629929,113.100975,21.036521755793217,0.18599770469690272,observed
1980-10-13,1980,0.0,2.376218469077825,113.100975,23.412740224871044,0.20700741277685897,observed
1980-10-14,1980,0.0,2.3063295925591674,113.100975,25.71906981743021,0.22739918739960113,observed
1980-10-15,1980,5.998091,2.245177013061647,119.09907,27.964246830491856,0.23479820097124224,observed
1980-10-16,1980,9.83519,2.2277047522750255,128.93427,30.191951582766883,0.23416546059926022,observed
1980-10-17,1980,13.290536,2.2539129768271295,142.22481,32.445864559594014,0.22813083789909105,observed
1980-10-18,1980,7.253659,2.297593462165856,149.47847,34.74345802175987,0.23243118595569198,observed
1980-10-19,1980,1.4786896,2.358746208291203,150.95715,37.10220423005107,0.24577970247838976,observed
1980-10-20,1980,0.15809147,2.3849544328433074,151.11525,39.48715866289438,0.26130492295507635,observed
1980-10-21,1980,0.0,2.393690563236619,151.11525,41.880849226131,0.27714508845152663,observed
1980-10-22,1980,0.0,2.350010077897893,151.11525,44.23085930402889,0.2926961998290539,observed
1980-10-23,1980,0.5058136,2.297593462165856,151.62106,46.52845276619475,0.3068732785158661,observed
1980-10-24,1980,0.0,2.2277047522750255,151.62106,48.75615751846977,0.32156585951208394,observed
1980-10-25,1980,2.2775726,2.1665520061496775,153.89864,50.92270952461945,0.330884736168386,observed
1980-10-26,1980,0.0,2.105399426652158,153.89864,53.028108951271605,0.34456516559408384,observed
1980-10-27,1980,4.1436415,2.0355105501335,158.04228,55.06361950140511,0.3484106833195367,observed
1980-10-28,1980,1.1794723,1.9830941010292908,159.22176,57.046713602434394,0.35828466562749284,observed
1980-10-29,1980,0.0,1.9132052245106332,159.22176,58.95991882694503,0.3703006443027537,observed
1980-10-30,1980,2.4813895,1.8433165146198023,161.70314,60.80323534156483,0.37601765336316645,observed
1980-10-31,1980,4.185022,1.7821637684944553,165.88817,62.585399110059285,0.37727464073077843,observed
1980-11-01,1980,5.7679334,1.729747152762418,171.6561,64.3151462628217,0.37467440558441023,observed
1980-11-02,1980,0.59057164,1.7035389282103137,172.24667,66.018685191032,0.38327988469886176,observed
1980-11-03,1980,7.869965,1.642386182084966,180.11664,67.66107137311697,0.37565142263064955,observed
1980-11-04,1980,2.9860246,1.624914087926172,183.10266,69.28598546104314,0.3783996640594258,observed
1980-11-05,1980,2.9050043,1.581233602587446,186.00766,70.86721906363059,0.38099086401665455,observed
1980-11-06,1980,1.7935004,1.5550252114075138,187.80116,72.4222442750381,0.3856325659874676,observed
1980-11-07,1980,4.5530434,1.511344726068788,192.3542,73.93358900110688,0.3843617042331835,observed
1980-11-08,1980,2.442058,1.4851365015166833,194.79626,75.41872550262356,0.38716720589451253,observed
1980-11-09,1980,1.4172647,1.4414560161779575,196.21353,76.86018151880151,0.39171702855313384,observed
1980-11-10,1980,0.0,1.4065116612325423,196.21353,78.26669318003405,0.3988852990109465,observed
1980-11-11,1980,0.0,1.3453589151071945,196.21353,79.61205209514125,0.40574190520350856,observed
1980-11-12,1980,6.253474,1.3191506905550905,202.46701,80.93120278569634,0.39972538037981775,observed
1980-11-13,1980,3.8025944,1.3104145601617796,206.2696,82.24161734585812,0.3987093315642088,observed
1980-11-14,1980,2.6461654,1.2754702052163647,208.91577,83.51708755107448,0.39976439766932964,observed
1980-11-15,1980,14.5401325,1.2405257669570353,223.4559,84.75761331803152,0.3793035338142437,observed
1980-11-16,1980,6.673034,1.2405257669570353,230.12894,85.99813908498855,0.3736954608704578,observed
1980-11-17,1980,2.6485136,1.2230535894843277,232.77745,87.22119267447287,0.37469777447975006,observed
1980-11-18,1980,0.9959719,1.1968452816183093,233.77342,88.41803795609118,0.3782210873606501,observed
1980-11-19,1980,3.2137291,1.1706369737522906,236.98715,89.58867492984348,0.3780317799345847,observed
1980-11-20,1980,3.9130516,1.1531647962795832,240.9002,90.74183972612306,0.3766781301704195,observed
1980-11-21,1980,0.0,1.1356926188068754,240.9002,91.87753234492993,0.3813924997863726,observed
1980-11-22,1980,0.0,1.074539955995442,240.9002,92.95207230092538,0.3858530187998663,observed
1980-11-23,1980,0.7391468,1.0658038256021314,241.63936,94.01787612652751,0.38908345354901386,observed
1980-11-24,1980,7.1059103,1.039595517736113,248.74527,95.05747164426363,0.3821478564400345,observed
1980-11-25,1980,1.0183729,1.0221233402634053,249.76364,96.07959498452703,0.3846820716672418,observed
1980-11-26,1980,17.234364,1.0046511627906975,266.99802,97.08424614731773,0.3636141102162875,observed
1980-11-27,1980,1.6205454,1.0221233402634053,268.61856,98.10636948758113,0.36522557934448757,observed
