STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08NC004,Water Level,NA,2011,2024,14
08NC004,Flow,NA,1971,2024,53
