REGIONAL_OFFICE_ID,REGIONAL_OFFICE_NAME_EN,REGIONAL_OFFICE_NAME_FR,table,STATUS_CODE,STATUS_EN,STATUS_FR,AGENCY_ID,AGENCY_EN,AGENCY_FR
7.0,DARTMOUTH,,REGIONAL_OFFICE_LIST,,,,,,
,,,STN_STATUS_CODES,A,Active,En service,,,
,,,AGENCY_LIST,,,,455.0,NOVA SCOTIA DEPARTMENT OF ENVIRONMENT,MINISTERE DE L'ENVIRONNEMENT DE LA NOUVELLE-ECOSSE
