STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05ME009,Water Level,NA,2002,2023,22
05ME009,Flow,NA,1977,2023,47
