STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
01BU002,Water Level,NA,2011,2023,13
01BU002,Flow,NA,1961,2023,63
01BU002,Sediment in mg/L,NA,1967,1983,17
01BU002,Daily Mean Tonnes,NA,1967,1983,17
