STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
08EE003,2,2001,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY","STATION MANUELLE, OBSERVATIONS DIVERSES SEULEMENT"
08EE003,2,2002,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY","STATION MANUELLE, OBSERVATIONS DIVERSES SEULEMENT"
08EE003,2,2003,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY","STATION MANUELLE, OBSERVATIONS DIVERSES SEULEMENT"
08EE003,2,2004,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY","STATION MANUELLE, OBSERVATIONS DIVERSES SEULEMENT"
08EE003,2,2005,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY","STATION MANUELLE, OBSERVATIONS DIVERSES SEULEMENT"
08EE003,2,2006,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY",OBSERVATIONS MANUELLES DIVERSES UNIQUEMENT
08EE003,2,2007,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY",OBSERVATIONS MANUELLES DIVERSES UNIQUEMENT
08EE003,2,2008,"MANUAL, MISCELLANEOUS OBSERVATIONS ONLY",OBSERVATIONS MANUELLES DIVERSES UNIQUEMENT
08EE003,2,2009,"2009  MANUAL, MISCELLANEOUS OBSERVATIONS ONLY",OBSERVATIONS MANUELLES DIVERSES UNIQUEMENT
08EE003,2,2010,"2010 STATION UPGRADED FROM MISCELLANEOUS MEASUREMENTS TO CONTINUOUS RECORD AS OF SEPT 1, 2010.  ",MISE A NIVEAU DE LA STATION ? LES MESURES DIVERSES SONT REMPLACEES PAR DES ENREGISTREMENTS CONTINUS DEPUIS LE 1ER SEPTEMBRE 2010.
08EE003,4,-999,MINIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,
08EE003,5,-999,"RELOCATED 130 M DOWNSTREAM IN 1971. DISCONTINUED DEC 31 1971. STATION RE-ESTABLISHED IN APR 1980 FOR B.C. WATER MANAGEMENT BRANCH, VICTORIA, B.C.
STATION RELOCATED IN 2010 DUE TO OPERATIONAL REASONS. ",
