date,hyd_year,prcp_mm_day,flow_mm_day,cumulative_precip_mm,cumulative_flow_mm,runoff_coefficient,infill_flag
1980-10-01,1980,0.0,1.7211968309297339,0.0,1.7211968309297339,,observed
1980-10-02,1980,0.0,1.5987400926004245,0.0,3.3199369235301583,,observed
1980-10-03,1980,0.0,1.4286613524429443,0.0,4.7485982759731025,,observed
1980-10-04,1980,0.0,1.3674330643781525,0.0,6.116031340351255,,observed
1980-10-05,1980,0.0,1.3062046952134985,0.0,7.422236035564754,,observed
1980-10-06,1980,0.0,1.224566896693913,0.0,8.646802932258666,,observed
1980-10-07,1980,4.878718,1.108913382582777,4.878718,9.755716314841443,1.999647554165037,observed
1980-10-08,1980,0.0,1.1157165257010873,4.878718,10.87143284054253,2.228338072601453,observed
1980-10-09,1980,0.0,1.0340787271815022,4.878718,11.905511567724032,2.440295137658463,observed
1980-10-10,1980,0.0,0.9796535822350209,4.878718,12.885165149959052,2.641096578211331,observed
1980-10-11,1980,1.3671795,0.9320314993069867,6.2458973,13.81719664926604,2.212203627579748,observed
1980-10-12,1980,5.0425,0.9728503580168475,11.288397,14.790047007282887,1.3101990675059625,observed
1980-10-13,1980,4.598654,1.1497323223925013,15.887051,15.939779329675389,1.0033189735619115,observed
1980-10-14,1980,2.5314105,1.1157165257010873,18.41846,17.055495855376478,0.9260000603758001,observed
1980-10-15,1980,0.0,0.9524409286619171,18.41846,18.007936784038396,0.9777112721121212,observed
1980-10-16,1980,0.0,0.8503937007874016,18.41846,18.858330484825796,1.023881997662976,observed
1980-10-17,1980,0.0,0.8095748420775406,18.41846,19.667905326903337,1.0678365305009183,observed
1980-10-18,1980,0.0,0.7619527591495063,18.41846,20.429858086052842,1.1092055007706119,observed
1980-10-19,1980,1.9170513,0.7279370435579555,20.335512,21.157795129610797,1.0404358130661004,observed
1980-10-20,1980,5.5774355,0.8435905576690914,25.912949,22.00138568727989,0.8490498715437269,observed
1980-10-21,1980,0.0,0.8980157837154358,25.912949,22.899401470995326,0.8837049699382179,observed
1980-10-22,1980,0.0,0.7687559022678164,25.912949,23.668157373263142,0.9133718331688523,observed
1980-10-23,1980,0.0,0.6939212468665417,25.912949,24.362078620129683,0.9401507712724705,observed
1980-10-24,1980,0.8175,0.6803149606299214,26.730448,25.042393580759605,0.9368490119214279,observed
1980-10-25,1980,0.0,0.6803149606299214,26.730448,25.722708541389526,0.9622999496125915,observed
1980-10-26,1980,0.0,0.6735118175116112,26.730448,26.396220358901136,0.9874963781695625,observed
1980-10-27,1980,4.23782,0.6442582858829047,30.968267,27.04047864478404,0.8731673057422127,observed
