STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
10MA003,Water Level,NA,2011,2023,13
10MA003,Flow,NA,1984,2023,31
