STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05TG006,Water Level,NA,2002,2024,23
05TG006,Flow,NA,1993,2024,32
