STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05OC019,Water Level,NA,2002,2023,22
05OC019,Flow,NA,1969,2023,55
