STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08NN028,Water Level,NA,2011,2023,13
08NN028,Flow,NA,1998,2023,26
