date,hyd_year,prcp_mm_day,flow_mm_day,cumulative_precip_mm,cumulative_flow_mm,runoff_coefficient,infill_flag
1980-10-01,1980,6.089652,3.606063296669408,6.089652,3.606063296669408,0.5921624520208513,observed
1980-10-02,1980,0.0,3.6606315789473687,6.089652,7.266694875616777,1.193285725075024,observed
1980-10-03,1980,4.446355,3.6788211220189146,10.536007,10.945515997635692,1.0388675779129357,observed
1980-10-04,1980,16.627985,3.719747507195724,27.163992,14.665263504831415,0.5398788051346939,observed
1980-10-05,1980,40.007236,3.9152841411389803,67.17123,18.580547645970395,0.2766146847946151,observed
1980-10-06,1980,13.352068,4.492800138774671,80.52329,23.073347784745067,0.28654252771460426,observed
1980-10-07,1980,18.608742,5.047578947368422,99.132034,28.12092673211349,0.2836714380995493,observed
1980-10-08,1980,6.93987,5.456842105263157,106.07191,33.577768837376645,0.31655666211054384,observed
1980-10-09,1980,0.6379803,5.502315789473684,106.709885,39.08008462685033,0.3662274095543292,observed
1980-10-10,1980,4.9281726,5.411368421052631,111.638054,44.49145304790296,0.39853304044631893,observed
1980-10-11,1980,2.1867344,5.320421052631579,113.82479,49.81187410053454,0.437618849837439,observed
1980-10-12,1980,2.0695846,5.138526315789473,115.89438,54.950400416324015,0.47414206841327633,observed
1980-10-13,1980,0.08788682,4.956631578947368,115.98227,59.90703199527138,0.5165188814074155,observed
1980-10-14,1980,0.0,4.729263157894737,115.98227,64.63629515316612,0.5572946240012049,observed
1980-10-15,1980,0.0,4.492800138774671,115.98227,69.12909529194079,0.596031580661821,observed
1980-10-16,1980,0.0,4.283620913856908,115.98227,73.4127162057977,0.6329649924685256,observed
1980-10-17,1980,6.475519,4.1335579641241775,122.45779,77.54627416992187,0.6332490268545711,observed
1980-10-18,1980,3.4514434,4.0107788085937495,125.90923,81.55705297851563,0.64774481564911,observed
1980-10-19,1980,15.434881,3.8516209138569075,141.34412,85.40867389237253,0.6042605534772407,observed
1980-10-20,1980,10.081723,3.7925053325452303,151.42584,89.20117922491777,0.5890750077978061,observed
