date,hyd_year,prcp_mm_day,flow_mm_day,cumulative_precip_mm,cumulative_flow_mm,runoff_coefficient,infill_flag
1981-10-01,1981,14.752067,23.4,14.752067,23.4,1.5862184340042833,observed
1981-10-02,1981,6.538087,9.719999999999999,21.290154,33.12,1.5556487178301857,observed
1981-10-03,1981,0.5251332,5.810399780273437,21.815287,38.93039978027343,1.784546791853774,observed
1981-10-04,1981,0.0,4.212000000000001,21.815287,43.142399780273436,1.9776224121842085,observed
1981-10-05,1981,17.986351,3.5280000000000005,39.801636,46.670399780273435,1.1725749183419973,observed
1981-10-06,1981,22.576385,10.008,62.37802,56.67839978027344,0.9086277290199672,observed
1981-10-07,1981,14.72904,16.848000000000003,77.10706,73.52639978027344,0.9535624447327715,observed
1981-10-08,1981,13.531057,9.648,90.63812,83.17439978027343,0.9176536034989545,observed
1981-10-09,1981,1.9669169,6.753600219726562,92.60504,89.928,0.9710918384093232,observed
1981-10-10,1981,0.0,4.658399780273437,92.60504,94.58639978027344,1.021395792758039,observed
1981-10-11,1981,0.0,3.68640005493164,92.60504,98.27279983520508,1.0612035612667994,observed
1981-10-12,1981,0.0,3.0455999450683593,92.60504,101.31839978027344,1.0940916189319956,observed
1981-10-13,1981,0.0,2.822400054931641,92.60504,104.14079983520507,1.1245694418355423,observed
1981-10-14,1981,0.0,3.348,92.60504,107.48879983520507,1.1607229810557451,observed
1981-10-15,1981,0.0,3.68640005493164,92.60504,111.17519989013671,1.2005307495645055,observed
1981-10-16,1981,0.0,3.8304000549316406,92.60504,115.00559994506835,1.241893509007468,observed
1981-10-17,1981,0.0,3.8664000549316406,92.60504,118.872,1.2836450161839814,observed
1981-10-18,1981,0.0,3.96,92.60504,122.832,1.326407266874544,observed
1981-10-19,1981,0.0,4.017599945068359,92.60504,126.84959994506835,1.3697915133456056,observed
1981-10-20,1981,0.0,3.088800109863281,92.60504,129.93840005493163,1.4031460700706084,observed
1981-10-21,1981,0.0,2.404800109863281,92.60504,132.34320016479492,1.4291144198581505,observed
1981-10-22,1981,0.0,2.16720002746582,92.60504,134.51040019226073,1.4525170337144857,observed
1981-10-23,1981,0.0,2.16,92.60504,136.67040019226073,1.4758418977275198,observed
1981-10-24,1981,0.0,2.325599945068359,92.60504,138.99600013732908,1.5009550007217045,observed
1981-10-25,1981,4.105206,2.7288001098632813,96.71025,141.72480024719235,1.4654578909161131,observed
1981-10-26,1981,26.067314,3.2328001098632813,122.777565,144.95760035705564,1.1806521847389073,observed
1981-10-27,1981,44.42761,7.848000000000001,167.20517,152.80560035705565,0.9138808366485799,observed
1981-10-28,1981,14.287619,16.344,181.49278,169.14960035705565,0.9319907818956473,observed
1981-10-29,1981,2.9220176,6.458399780273438,184.4148,175.60800013732907,0.9522446407389558,observed
1981-10-30,1981,58.380764,5.04,242.79556,180.64800013732906,0.7440333673959971,observed
1981-10-31,1981,57.323593,57.744,300.11914,238.39200013732906,0.7943245460482001,observed
1981-11-01,1981,3.425004,68.688,303.54416,307.0800001373291,1.011648523279715,observed
