STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
07BJ003,Water Level,NA,2012,2024,13
07BJ003,Flow,NA,1970,2024,55
