STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
02ZD002,2,1999,"THE ""E"" FOR DISCHARGES ABOVE 1114 M3/S IS DUE TO CURVE EXTENSION",LE < E > POUR LES DEBITS SUPERIEURS A 1114 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE.
02ZD002,2,2000,"THE ""E"" FOR DISCHARGES ABOVE 1114 M3/S IS DUE TO CURVE EXTENSION",LE < E > POUR LES DEBITS SUPERIEURS A 1114 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE.
02ZD002,2,2005,"THE ""E"" FOR DISCHARGES ABOVE 1114 M3/S IS DUE TO CURVE EXTENSION",LE < E > POUR LES DEBITS SUPERIEURS A 1114 M3/S INDIQUE UN PROLONGEMENT DE LA COURBE.
02ZD002,2,2011,MIN. INST. DISCHARGES NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,
02ZD002,2,2013,"THE ""E"" FOR DISCHARGES ABOVE 1114 CMS IS DUE TO CURVE EXTENSION.",
02ZD002,2,2014,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,
02ZD002,2,2015,"THE ""E"" FOR DISCHARGES ABOVE 1114 CMS IS DUE TO CURVE EXTENSION.",
02ZD002,2,2016,"MAX., & MIN. INST. & MAX., & MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA. MAX. & MIN. INST. DISCHARGE NOT VALID- MISSING DATA.

",
02ZD002,2,2017,"THE 'E' FOR DISCHARGE ON AUG 6 AND AUG 7 IS DUE TO RATING CURVE EXTENSION

",
02ZD002,2,2018,"THE ''E'' FOR DISCHARGE ON JAN 14TH, FEB 3RD, APR 29TH AND 30TH AND ON OCT 21ST IS DUE TO RATING CURVE EXTENSION.",
02ZD002,2,2020,THE 'E' FOR DISCHARGES ON MAY 2-3 IS DUE TO RATING CURVE EXTENSION.,
02ZD002,2,2021,THE 'E' FOR DISCHARGES ON JUL 19-20 IS DUE TO RATING CURVE EXTENSION.,
02ZD002,2,2022,"THE 'E' FOR DISCHARGES ON JAN 16 AND JAN 18 IS DUE TO RATING CURVE EXTENSION.
MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.",
02ZD002,2,2023,"THE 'E' FOR DISCHARGES ON JAN 15 AND DEC 20-22 IS DUE TO RATING CURVE EXTENSION.
MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.",
