STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05LJ005,Water Level,NA,2002,2024,23
05LJ005,Instantantaneous Sediment,DI,1980,1993,7
05LJ005,Flow,NA,1912,2024,96
05LJ005,Sediment in mg/L,NA,1980,1982,3
05LJ005,Daily Mean Tonnes,NA,1980,1982,3
