STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
01AK001,Water Level,NA,2011,2024,14
01AK001,Flow,NA,1918,2024,106
