STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
02HC053,Water Level,NA,2002,2024,23
02HC053,Flow,NA,2002,2024,23
