STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05NF008,Water Level,NA,2002,2023,21
05NF008,Flow,NA,1936,2023,77
