REGIONAL_OFFICE_ID,REGIONAL_OFFICE_NAME_EN,REGIONAL_OFFICE_NAME_FR,table,STATUS_CODE,STATUS_EN,STATUS_FR,AGENCY_ID,AGENCY_EN,AGENCY_FR
8.0,REGINA,REGINA,REGIONAL_OFFICE_LIST,,,,,,
,,,STN_STATUS_CODES,A,Active,En service,,,
,,,AGENCY_LIST,,,,647.0,WATER SURVEY OF CANADA (DOE) (CANADA),RELEVES HYDROLOGIQUES DU CANADA (MDE) (CANADA)
