STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05NB035,Water Level,NA,2011,2024,13
05NB035,Flow,NA,1992,2024,33
