date,STATION_NUMBER,water_level_m,quality_symbol
2013-10-27,07SA008,6.464000225067139,
2013-11-27,07SA008,6.385000228881836,
2013-12-27,07SA008,6.355999946594238,
2014-01-27,07SA008,6.192999839782715,
2014-02-27,07SA008,6.077000141143799,
2014-03-27,07SA008,5.949999809265137,
2014-04-27,07SA008,5.822000026702881,
2014-05-27,07SA008,6.408999919891357,
2014-06-27,07SA008,6.959000110626221,
2014-07-27,07SA008,,
2014-08-27,07SA008,6.466000080108643,
2014-09-27,07SA008,6.258999824523926,
2014-10-27,07SA008,6.2829999923706055,
2014-11-27,07SA008,6.171000003814697,
2014-12-27,07SA008,6.056000232696533,A
2015-01-27,07SA008,6.040999889373779,
2015-02-27,07SA008,5.948999881744385,
2015-03-27,07SA008,5.901000022888184,
2015-04-27,07SA008,5.776000022888184,
2015-05-27,07SA008,6.507999897003174,
2015-06-27,07SA008,7.0970001220703125,
2015-07-27,07SA008,6.89300012588501,
2015-08-27,07SA008,6.691999912261963,
2015-09-27,07SA008,6.625,
2015-10-27,07SA008,6.794000148773193,
2015-11-27,07SA008,6.789999961853027,
2015-12-27,07SA008,6.652999877929688,
2016-01-27,07SA008,6.540999889373779,
2016-02-27,07SA008,6.436999797821045,
2016-03-27,07SA008,6.303999900817871,
2016-04-27,07SA008,6.151999950408936,
2016-05-27,07SA008,7.13700008392334,
2016-06-27,07SA008,7.668000221252441,
2016-07-27,07SA008,7.019000053405762,
2016-08-27,07SA008,6.645999908447266,
2016-09-27,07SA008,6.394999980926514,
2016-10-27,07SA008,6.328999996185303,
2016-11-27,07SA008,6.303999900817871,
2016-12-27,07SA008,6.245999813079834,
2017-01-27,07SA008,6.186999797821045,
2017-02-27,07SA008,6.14300012588501,
2017-03-27,07SA008,6.084000110626221,
2017-04-27,07SA008,5.947000026702881,
2017-05-27,07SA008,6.771999835968018,
2017-06-27,07SA008,7.782000064849853,
2017-07-27,07SA008,7.164999961853027,
2017-08-27,07SA008,6.760000228881836,
2017-09-27,07SA008,6.459000110626221,
2017-10-27,07SA008,6.355999946594238,
2017-11-27,07SA008,6.334000110626221,
2017-12-27,07SA008,6.2729997634887695,
2018-01-27,07SA008,6.230999946594238,
2018-02-27,07SA008,6.085999965667725,
2018-03-27,07SA008,6.019999980926514,
2018-04-27,07SA008,5.902999877929688,
2018-05-27,07SA008,6.235000133514404,
2018-06-27,07SA008,7.513999938964844,
2018-07-27,07SA008,7.361999988555908,
2018-08-27,07SA008,7.045000076293945,
2018-09-27,07SA008,6.755000114440918,
2018-10-27,07SA008,6.620999813079834,
2018-11-27,07SA008,6.534999847412109,
2018-12-27,07SA008,6.388000011444092,
2019-01-27,07SA008,6.352000236511231,
2019-02-27,07SA008,6.195000171661377,
2019-03-27,07SA008,6.0329999923706055,
2019-04-27,07SA008,5.9629998207092285,
2019-05-27,07SA008,6.366000175476074,
2019-06-27,07SA008,7.063000202178955,
2019-07-27,07SA008,7.422999858856201,
2019-08-27,07SA008,7.03000020980835,
2019-09-27,07SA008,6.849999904632568,
2019-10-27,07SA008,6.770999908447266,
2019-11-27,07SA008,6.6579999923706055,
2019-12-27,07SA008,6.559999942779541,
2020-01-27,07SA008,6.513000011444092,
2020-02-27,07SA008,6.3420000076293945,
2020-03-27,07SA008,6.2230000495910645,
2020-04-27,07SA008,6.072000026702881,
2020-05-27,07SA008,6.177000045776367,
2020-06-27,07SA008,7.304999828338623,
2020-07-27,07SA008,7.932000160217285,
2020-08-27,07SA008,7.434999942779541,
2020-09-27,07SA008,7.066999912261963,
2020-10-27,07SA008,6.934000015258789,
2020-11-27,07SA008,6.795000076293945,
2020-12-27,07SA008,6.6579999923706055,
2021-01-27,07SA008,6.47599983215332,
2021-02-27,07SA008,6.381999969482422,
2021-03-27,07SA008,6.303999900817871,
2021-04-27,07SA008,6.116000175476074,
2021-05-27,07SA008,6.440000057220459,
2021-06-27,07SA008,8.661999702453613,
2021-07-27,07SA008,7.48199987411499,
2021-08-27,07SA008,6.916999816894531,A
