STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
02YS006,2,2010,"2010  THE ""E"" FOR DISCHARGE ABOVE 226 CMS IS DUE TO CURVE EXTENSION",LES ESTIMATIONS DE DEBIT SUPERIEURES A 226 CMS SONT ATTRIBUABLES AU PROLONGEMENT DE LA COURBE.
02YS006,2,2017,"
THE 'E' FOR DISCHARGES BETWEEN AUG 5 TO AUG 9 AND AUG 16 TO AUG 25 2017 IS DUE TO RATING CURVE EXTENSION.
",
02YS006,2,2021,"THE 'E' FOR DISCHARGES IN JUL, AUG AND SEP IS DUE TO RATING CURVE EXTENSION.",
02YS006,2,2022,THE 'E' FOR DISCHARGES BETWEEN SEP 9 AND SEP 11 IS DUE TO RATING CURVE EXTENSION.,
02YS006,7,-999,N/A,
