STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
05AA033,2,2007,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID - ICE CONDITIONS,DEBIT INSTANTANE MAXIMAL NON VALIDE ? CONDITIONS GLACIELLES
05AA033,2,2010,2010 MAXIMUM INSTANTANEOUS DISCHARGE IS NOT VALID DUE TO EQUIPMENT MALFUNCTION.,LE DEBIT INSTANTANE MAXIMAL N'EST PAS VALIDE EN RAISON D'UNE DEFAILLANCE DU MATERIEL.
05AA033,2,2018,MAXIMUM INSTANTANEOUS DISCHARGE IS NOT VALID DUE TO ICE CONDITIONS,
