STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
07FB008,Water Level,NA,2011,2024,14
07FB008,Flow,NA,1980,2024,45
