STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05OB021,Water Level,NA,2002,2023,22
05OB021,Flow,NA,1962,2023,62
