STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05ND013,Water Level,NA,2013,2023,11
05ND013,Flow,NA,2015,2023,9
