STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
08LE027,Water Level,NA,2011,2024,14
08LE027,Flow,NA,1914,2024,73
