STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
02YO006,2,2020,"-	THE ?E? FOR DISCHARGES ON JULY 23RD ? 25TH ARE DUE TO RATING CURVE EXTENSION.

",
02YO006,2,2023,THE WATER LEVELS BETWEEN APR 21 TO DEC 31 ARE AFFECTED BY BEAVER ACTIVITY.,
