Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
07EF004,18.0,Created with 3 open water measurements from 2022 (June - Oct) and the 2013 max historical measurement,LogarithmicTable,Provisional/Provisoire,(3.743);
07EF004,17.0,Curve for 2021 review period. used 2021 low measurements (<15 cms) and historic mid-high measurements (upper end of curve is stable),LogarithmicTable,Final/Finales,(3.85);
07EF004,16.0,"Curve for 2019 review period, using all 2018 and 2019 open water measurements, 2012 high water mmt and 2017 low water mmt",LogarithmicTable,Final/Finales,(3.5);
07EF004,15.02,Cloned 15.001 forward to allow grading changes + single shift. Same curve as 15.000,LogarithmicTable,Final/Finales,(3.757);
07EF004,15.001,"2013 Open Water through to May 05, 2015. Cloned forward to allow grading changes + single shift. Same curve as 15.000",LogarithmicTable,Final/Finales,(3.757);
07EF004,15.0,"2013 Open Water through to May 05, 2015",LogarithmicTable,Final/Finales,(3.757);
07EF004,14.0,Discharges above stage 5.560 are estimated,LogarithmicTable,Final/Finales,(4.36:3.595);(3.79);
07EF004,13.0,coincident with table 12 above 5.1,LinearTable,Final/Finales,
07EF004,12.0,Coincident w/ T 11 @ & above 5.800m,LinearTable,Final/Finales,
07EF004,11.0,Coincident w/ T 10 @ & above 5.000m,LinearTable,Final/Finales,
07EF004,10.0,,LinearTable,Final/Finales,
07EF004,9.0,Coincident with #8 ABOVE 4.500m,LinearTable,Final/Finales,
07EF004,8.0,,LinearTable,Final/Finales,
07EF004,7.0,,LinearTable,Final/Finales,
07EF004,6.0,,LinearTable,Final/Finales,
07EF004,5.0,,LinearTable,Final/Finales,
07EF004,4.0,,LinearTable,Final/Finales,
07EF004,3.0,,LinearTable,Final/Finales,
07EF004,2.0,,LinearTable,Final/Finales,
07EF004,1.0,,LinearTable,Final/Finales,
