STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
05KE010,Water Level,NA,2011,2023,13
05KE010,Flow,NA,1993,2023,31
