STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
01AJ010,Water Level,NA,2011,2024,14
01AJ010,Instantantaneous Sediment,DI,1974,1994,7
01AJ010,Flow,NA,1973,2024,52
01AJ010,Sediment in mg/L,NA,1974,1989,6
01AJ010,Daily Mean Tonnes,NA,1974,1989,6
