STATION_NUMBER,DATA_TYPE,SED_DATA_TYPE,YEAR_FROM,YEAR_TO,RECORD_LENGTH
09DB001,Water Level,NA,2011,2023,13
09DB001,Flow,NA,1995,2023,29
